inflammation	patient.info link
appendicitis	https://patient.info/forums/discuss/browse/appendicitis-3323
arthritis	https://patient.info/forums/discuss/browse/arthritis-241
blepharitis	https://patient.info/forums/discuss/browse/blepharitis-256
cellulitis	https://patient.info/forums/discuss/browse/cellulitis-391
colitis ulcerative	https://patient.info/forums/discuss/browse/ulcerative-colitis-2357
cystitis	https://patient.info/forums/discuss/browse/cystitis-454
fasciitis	https://patient.info/forums/discuss/browse/plantar-fasciitis-1725
folliculitis	https://patient.info/forums/discuss/browse/folliculitis-903
hepatitis	https://patient.info/forums/discuss/browse/hepatitis-4
rhinitis	https://patient.info/forums/discuss/browse/rhinitis-1971
scleritis episcleritis	https://patient.info/forums/discuss/browse/scleritis-and-episcleritis-2084
sinusitis	https://patient.info/forums/discuss/browse/sinusitis-2076
vaginitis	https://patient.info/forums/discuss/browse/atrophic-vaginitis-8
vasculitis	https://patient.info/forums/discuss/browse/vasculitis-2442
