inflammation	patient.info link
acoustic neuritis	
acrodermatitis	
adenitis	
adhesive otitis	
adrenalitis	
alveolitis	
angiitis	
angiocholecystitis	
ankylosing spondylitis	https://patient.info/forums/discuss/browse/ankylosing-spondylitis-40
anterior uveitis	
antritis	
appendicitis	https://patient.info/forums/discuss/browse/appendicitis-3323
arachnoiditis	
arteritis	https://patient.info/forums/discuss/browse/polymyalgia-rheumatica-and-gca-1708
arthritis	https://patient.info/forums/discuss/browse/arthritis-241
arthritis reactive	https://patient.info/forums/discuss/browse/reactive-arthritis-1981
bacterial meningitis	
balanitis	https://patient.info/forums/discuss/browse/penis-disorders-3405
balanoposthitis	
bartholinitis	
blepharitis	https://patient.info/forums/discuss/browse/blepharitis-256
blepharoconjuctivitis	
bronchiolitis	
bronchitis acute	https://patient.info/forums/discuss/browse/respiratory-symptoms-and-disorders-2014
bronchitis chronic	https://patient.info/forums/discuss/browse/chronic-obstructive-pulmonary-disease-446	
bursitis	https://patient.info/forums/discuss/browse/elbow-problems-1323
canaliculitis	
capillaritis	
capitis	
carditis	
cavernitis	
cellulitis	https://patient.info/forums/discuss/browse/cellulitis-391
cervicitis	
cheilitis	
cholangitis	https://patient.info/forums/discuss/browse/liver-problems-1354
cholecystitis	https://patient.info/forums/discuss/browse/gallbladder-problems-3340
chondrodermatitis	
chorditis	
chorioretinitis	
choroiditis	
colitis	https://patient.info/forums/discuss/browse/bowel-disorders-300
colitis ulcerative	https://patient.info/forums/discuss/browse/ulcerative-colitis-2357
conjunctivitis	
cryptitis	
cystitis	https://patient.info/forums/discuss/browse/cystitis-454
dacryoadenitis	
dacryocystitis	
dacryopericystitis	
dermatitis eczema	https://patient.info/forums/discuss/browse/dermatitis-and-eczema-694
dermatopolymyositis	
diaphragmatitis	
diverticulitis	
duodenitis	
encephalitis	https://patient.info/forums/discuss/browse/infectious-disease-1281
encephalomyelitis	
endarteritis	
endocarditis	
endocervicitis	
endometritis	
endomyometritis	
endophlebitis	
endophthalmitis	
enteritis	
enterocolitis	
epididymitis	
epiglottitis	
ethmoiditis	
exocervicitis	
fasciitis	https://patient.info/forums/discuss/browse/plantar-fasciitis-1725
fibrositis	
folliculitis	https://patient.info/forums/discuss/browse/folliculitis-903
ganglionitis	
gastritis	https://patient.info/forums/discuss/browse/abdominal-disorders-3321
gastroenteritis	
gingivitis	
glomerulonephritis	https://patient.info/forums/discuss/browse/kidney-problems-3341
glossitis	
gnathitis	
hemicolitis	
hepatitis	https://patient.info/forums/discuss/browse/hepatitis-4
hidradenitis	https://patient.info/forums/discuss/browse/hidradenitis-suppurativa-1120
hypophysitis	
ileitis	
insulitis	
intermediate uveitis	
iridocyclitis	
iritis	
juvenile arthritis	
keratitis	
keratoconjuctivitis	
labyrinthitis	https://patient.info/forums/discuss/browse/vertigo-and-dizziness-2395
laryngitis	https://patient.info/forums/discuss/browse/sore-throat-2261
laryngopharyngitis	
laryngotracheitis	
leptomeningitis	
lymphadenitis	
lymphangitis	
mastitis	https://patient.info/forums/discuss/browse/breast-pain-lumps-and-disorders-253
mastoiditis	
meatitis	
mediastinitis	
meningitis	
meningoencephalitis	
meningomyelitis	
metritis	
mononeuritis	
mucositis	
myelitis	
myocarditis	
myoendocarditis	
myofibrositis	
myometritis	
myositis	
myringitis	
nasopharyngitis	
nephritis	
neurodermatitis	
neuromyelitis	
