inflammation	patient.info link
ankylosing spondylitis	https://patient.info/forums/discuss/browse/ankylosing-spondylitis-40
appendicitis	https://patient.info/forums/discuss/browse/appendicitis-3323
arthritis	https://patient.info/forums/discuss/browse/arthritis-241
arthritis reactive	https://patient.info/forums/discuss/browse/reactive-arthritis-1981
blepharitis	https://patient.info/forums/discuss/browse/blepharitis-256
cellulitis	https://patient.info/forums/discuss/browse/cellulitis-391
colitis ulcerative	https://patient.info/forums/discuss/browse/ulcerative-colitis-2357
cystitis	https://patient.info/forums/discuss/browse/cystitis-454
dermatitis eczema	https://patient.info/forums/discuss/browse/dermatitis-and-eczema-694
fasciitis	https://patient.info/forums/discuss/browse/plantar-fasciitis-1725
folliculitis	https://patient.info/forums/discuss/browse/folliculitis-903
hepatitis	https://patient.info/forums/discuss/browse/hepatitis-4
hidradenitis	https://patient.info/forums/discuss/browse/hidradenitis-suppurativa-1120
oesophagitis	https://patient.info/forums/discuss/browse/reflux-oesophagitis-1969
osteoarthritis	https://patient.info/forums/discuss/browse/osteoarthritis-1632
osteomyelitis	https://patient.info/forums/discuss/browse/osteomyelitis-1648
pancreatitis	https://patient.info/forums/discuss/browse/pancreatitis-and-pancreatic-disorders-1933
psoriatic arthritis	https://patient.info/forums/discuss/browse/psoriasis-and-psoriatic-arthritis-1737
rheumatoid arthritis	https://patient.info/forums/discuss/browse/rheumatoid-arthritis-1968
rhinitis	https://patient.info/forums/discuss/browse/rhinitis-1971
scleritis episcleritis	https://patient.info/forums/discuss/browse/scleritis-and-episcleritis-2084
sinusitis	https://patient.info/forums/discuss/browse/sinusitis-2076
vaginitis	https://patient.info/forums/discuss/browse/atrophic-vaginitis-8
vasculitis	https://patient.info/forums/discuss/browse/vasculitis-2442
